date,temp_max_c,temp_min_c,rainfall_mm,humidity_pct,solar_rad,year,month,month_name,week,day_of_week,is_rainy_day
2021-08-13,28.95,22.3,22.51,89.12,4.4609,2021,8,August,32,Friday,1
2021-08-14,27.37,22.46,7.58,91.15,4.441,2021,8,August,32,Saturday,1
2021-08-15,29.29,22.26,7.77,89.07,4.4614,2021,8,August,32,Sunday,1
2021-08-16,28.47,22.72,7.14,91.36,2.3222,2021,8,August,33,Monday,1
2021-08-17,26.99,22.68,22.64,92.44,3.8249,2021,8,August,33,Tuesday,1
2021-08-18,27.98,22.56,5.24,89.45,4.416,2021,8,August,33,Wednesday,1
2021-08-19,26.3,22.34,14.73,93.43,4.4549,2021,8,August,33,Thursday,1
2021-08-20,27.81,22.2,61.58,92.49,3.469,2021,8,August,33,Friday,1
2021-08-21,27.92,22.46,12.69,91.52,3.5957,2021,8,August,33,Saturday,1
2021-08-22,27.81,22.49,8.29,90.0,4.4614,2021,8,August,33,Sunday,1
2021-08-23,27.85,22.5,3.68,91.63,4.645,2021,8,August,34,Monday,1
2021-08-24,28.98,23.11,4.42,90.98,3.0295,2021,8,August,34,Tuesday,1
2021-08-25,28.56,23.31,5.81,90.73,4.2715,2021,8,August,34,Wednesday,1
2021-08-26,26.5,23.2,7.17,95.07,3.4517,2021,8,August,34,Thursday,1
2021-08-27,28.35,22.56,2.1,90.65,4.2166,2021,8,August,34,Friday,1
2021-08-28,28.22,22.44,3.91,90.24,4.7606,2021,8,August,34,Saturday,1
2021-08-29,28.58,23.18,18.11,91.47,4.6942,2021,8,August,34,Sunday,1
2021-08-30,29.26,22.89,8.86,90.2,4.2034,2021,8,August,35,Monday,1
2021-08-31,28.71,23.02,8.92,89.88,4.9968,2021,8,August,35,Tuesday,1
2022-06-01,28.72,23.65,8.1,89.08,5.401,2022,6,June,22,Wednesday,1
2022-06-02,30.09,23.68,8.71,89.4,5.4564,2022,6,June,22,Thursday,1
2022-06-03,28.48,24.29,6.95,91.97,2.3789,2022,6,June,22,Friday,1
2022-06-04,27.89,23.72,13.12,92.52,3.8537,2022,6,June,22,Saturday,1
2022-06-05,27.45,23.13,15.77,83.14,4.4899,2022,6,June,22,Sunday,1
2022-06-06,30.1,22.34,13.36,79.86,5.2342,2022,6,June,23,Monday,1
2022-06-07,28.57,23.12,12.24,89.95,3.9886,2022,6,June,23,Tuesday,1
2022-06-08,27.67,23.21,33.49,93.41,4.8391,2022,6,June,23,Wednesday,1
2022-06-09,29.22,23.48,43.57,89.91,4.5233,2022,6,June,23,Thursday,1
2022-06-10,28.29,23.97,3.06,91.67,5.0076,2022,6,June,23,Friday,1
2022-06-11,27.42,23.17,5.45,92.05,3.3262,2022,6,June,23,Saturday,1
2022-06-12,26.74,22.52,4.8,93.17,5.0719,2022,6,June,23,Sunday,1
2022-06-13,29.82,22.9,0.68,87.62,5.3256,2022,6,June,24,Monday,0
2022-06-14,29.48,22.99,2.45,89.24,3.8376,2022,6,June,24,Tuesday,1
2022-06-15,28.46,23.45,3.53,92.19,4.9613,2022,6,June,24,Wednesday,1
2022-06-16,26.18,22.83,7.45,94.69,2.1286,2022,6,June,24,Thursday,1
2022-06-17,26.94,22.35,1.45,90.95,4.0313,2022,6,June,24,Friday,1
2022-06-18,28.62,21.8,4.12,88.46,3.9689,2022,6,June,24,Saturday,1
2022-06-19,28.12,22.72,0.49,88.51,4.1378,2022,6,June,24,Sunday,0
2022-06-20,26.75,23.39,2.04,92.51,4.0663,2022,6,June,25,Monday,1
2022-06-21,25.98,22.81,5.7,94.06,3.3835,2022,6,June,25,Tuesday,1
2022-06-22,27.66,22.69,1.92,92.12,3.9403,2022,6,June,25,Wednesday,1
2022-06-23,28.0,22.49,0.75,89.65,5.0333,2022,6,June,25,Thursday,0
2022-06-24,27.06,23.34,3.8,93.12,2.5469,2022,6,June,25,Friday,1
2022-06-25,29.57,22.76,1.36,88.61,4.1779,2022,6,June,25,Saturday,1
2022-06-26,27.21,23.02,2.27,92.12,3.1937,2022,6,June,25,Sunday,1
2022-06-27,27.64,22.81,0.63,87.04,3.397,2022,6,June,26,Monday,0
2022-06-28,29.21,22.12,1.1,88.49,4.3942,2022,6,June,26,Tuesday,1
2022-06-29,27.47,23.74,2.83,93.07,3.7999,2022,6,June,26,Wednesday,1
2022-06-30,28.1,22.82,17.87,90.14,5.0777,2022,6,June,26,Thursday,1
2022-07-01,28.12,21.78,2.36,89.06,4.1609,2022,7,July,26,Friday,1
2022-07-02,28.72,22.73,2.44,87.49,3.9163,2022,7,July,26,Saturday,1
2022-07-03,29.83,22.33,1.19,86.91,4.687,2022,7,July,26,Sunday,1
2022-07-04,26.57,23.21,1.87,92.55,3.7409,2022,7,July,27,Monday,1
2022-07-05,27.46,22.24,12.64,93.15,4.0049,2022,7,July,27,Tuesday,1
2022-07-06,29.55,22.02,1.2,86.24,5.3347,2022,7,July,27,Wednesday,1
2022-07-07,30.07,23.2,7.32,89.24,4.6925,2022,7,July,27,Thursday,1
2022-07-08,27.8,23.77,43.83,91.93,3.4934,2022,7,July,27,Friday,1
2022-07-09,27.51,23.13,22.39,92.69,3.2681,2022,7,July,27,Saturday,1
2022-07-10,28.27,22.81,3.06,90.36,3.4222,2022,7,July,27,Sunday,1
2022-07-11,29.84,22.36,2.07,87.91,3.5882,2022,7,July,28,Monday,1
2022-07-12,29.28,22.58,1.33,87.51,4.0306,2022,7,July,28,Tuesday,1
2022-07-13,29.55,22.61,1.9,88.1,3.1157,2022,7,July,28,Wednesday,1
2022-07-14,29.68,22.68,1.5,87.68,3.6706,2022,7,July,28,Thursday,1
2022-07-15,28.28,23.0,0.64,89.4,3.4114,2022,7,July,28,Friday,0
2022-07-16,28.16,22.65,0.94,89.54,4.3526,2022,7,July,28,Saturday,0
2022-07-17,29.17,22.08,0.21,86.0,5.34,2022,7,July,28,Sunday,0
2022-07-18,29.76,22.3,0.42,85.38,5.3165,2022,7,July,29,Monday,0
2022-07-19,29.06,21.08,0.05,85.77,5.2284,2022,7,July,29,Tuesday,0
2022-07-20,29.11,21.37,2.56,86.48,3.9972,2022,7,July,29,Wednesday,1
2022-07-21,27.78,22.0,6.68,89.18,3.2539,2022,7,July,29,Thursday,1
2022-07-22,27.93,22.08,4.01,88.77,3.7445,2022,7,July,29,Friday,1
2022-07-23,28.42,22.25,8.35,89.5,3.5633,2022,7,July,29,Saturday,1
2022-07-24,28.25,22.29,2.2,88.32,3.6576,2022,7,July,29,Sunday,1
2022-07-25,28.35,22.63,7.58,90.92,2.2476,2022,7,July,30,Monday,1
2022-07-26,26.36,22.97,8.3,93.52,3.7234,2022,7,July,30,Tuesday,1
2022-07-27,26.78,22.67,19.9,93.05,3.4879,2022,7,July,30,Wednesday,1
2022-07-28,28.13,22.57,7.83,90.28,2.3962,2022,7,July,30,Thursday,1
2022-07-29,27.85,22.34,2.39,89.11,4.5842,2022,7,July,30,Friday,1
2022-07-30,27.61,22.12,2.01,89.47,3.5249,2022,7,July,30,Saturday,1
2022-07-31,29.21,22.27,3.77,88.61,3.0802,2022,7,July,30,Sunday,1
2022-08-01,28.97,22.15,4.57,88.24,3.0636,2022,8,August,31,Monday,1
2022-08-02,28.74,21.41,1.57,86.98,4.5938,2022,8,August,31,Tuesday,1
2022-08-03,29.46,21.28,0.79,86.26,5.3472,2022,8,August,31,Wednesday,0
2022-08-04,29.69,21.05,0.31,85.97,5.3573,2022,8,August,31,Thursday,0
2022-08-05,29.21,21.02,0.34,85.91,4.301,2022,8,August,31,Friday,0
2022-08-06,29.08,21.66,1.2,86.39,4.2991,2022,8,August,31,Saturday,1
2022-08-07,29.14,22.16,1.7,87.81,3.437,2022,8,August,31,Sunday,1
2022-08-08,28.8,22.81,3.1,89.36,3.601,2022,8,August,32,Monday,1
2022-08-09,29.23,22.46,11.47,88.64,3.582,2022,8,August,32,Tuesday,1
2022-08-10,28.14,22.39,7.79,90.6,3.7462,2022,8,August,32,Wednesday,1
2022-08-11,27.94,22.64,15.18,91.48,2.7653,2022,8,August,32,Thursday,1
2022-08-12,27.91,22.67,30.14,91.25,3.0574,2022,8,August,32,Friday,1
2022-08-13,27.37,22.7,22.57,91.76,3.4632,2022,8,August,32,Saturday,1
2022-08-14,25.3,22.61,9.06,94.41,1.7359,2022,8,August,32,Sunday,1
2022-08-15,28.48,22.07,3.23,89.54,3.835,2022,8,August,33,Monday,1
2022-08-16,28.47,21.28,0.58,87.97,4.4496,2022,8,August,33,Tuesday,0
2022-08-17,29.31,20.92,0.2,82.78,4.8552,2022,8,August,33,Wednesday,0
2022-08-18,28.47,22.03,3.41,89.63,4.0882,2022,8,August,33,Thursday,1
2022-08-19,28.81,22.15,0.51,87.53,3.7416,2022,8,August,33,Friday,0
2022-08-20,29.63,22.0,1.23,87.39,4.4914,2022,8,August,33,Saturday,1
2022-08-21,28.29,21.85,0.23,87.29,5.7588,2022,8,August,33,Sunday,0
